Age,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
<10,6,4,5,4,5,6,5,4,4,2,2,1,3,3,0,5,1,5,0,3,2,2,1,1,1
10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
11,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,3,2,1,2,1,1,1,1,2,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0
13,4,5,2,2,3,4,4,1,2,5,4,2,3,0,2,0,0,1,0,1,0,1,1,0,0
14,6,8,7,9,5,5,3,2,6,7,6,5,3,2,0,3,1,1,2,1,2,1,1,1,2
15,6,7,11,20,13,5,10,10,6,11,3,9,7,7,3,5,2,3,3,1,5,4,4,5,2
16,12,24,12,18,20,34,21,13,11,13,12,11,12,3,7,8,7,8,3,4,9,5,7,5,9
17,26,22,24,27,34,27,31,24,23,19,16,8,10,16,9,9,11,9,8,5,4,4,8,4,8
18,32,24,25,40,33,50,48,36,31,33,23,20,26,15,17,23,13,12,13,13,12,14,13,14,14
19,24,39,45,43,52,50,51,38,47,29,28,26,28,28,20,25,27,19,20,15,19,14,19,16,15
20,50,39,41,42,56,50,54,49,52,60,54,44,27,32,24,36,31,28,21,23,26,25,28,21,25
21,51,50,66,46,86,59,59,52,62,41,41,39,40,36,36,27,30,29,27,24,28,24,18,25,26
22,50,72,65,54,61,76,66,64,63,65,48,35,44,50,41,43,41,32,22,22,21,26,39,39,21
23,53,54,64,61,77,65,65,65,65,66,54,75,51,36,45,42,42,35,19,28,25,34,38,34,35
24,53,76,69,74,84,86,72,63,74,68,52,50,47,48,57,61,44,42,40,30,42,40,42,41,34
25,67,61,64,74,94,85,75,76,89,77,55,67,66,63,52,51,53,40,43,33,42,47,51,52,42
26,52,59,67,73,85,88,97,74,76,91,66,65,47,59,71,63,66,53,37,43,45,52,40,53,49
27,60,74,80,81,77,106,104,96,97,85,56,54,65,66,59,67,63,70,58,42,62,59,49,51,54
28,58,68,80,82,75,86,97,87,95,82,73,71,56,63,72,68,75,54,56,55,60,43,56,73,61
29,61,58,73,99,86,105,96,90,104,95,76,76,70,61,65,65,74,61,48,44,62,65,62,75,59
30,58,66,71,85,68,102,124,92,87,86,89,69,76,60,65,79,71,76,59,64,62,69,60,79,59
31,43,63,74,94,79,96,92,98,100,79,94,76,79,68,68,71,78,67,47,54,68,60,66,75,79
32,37,62,66,87,77,111,98,79,92,85,83,92,96,71,98,83,69,75,71,56,84,55,108,93,86
33,57,57,72,74,76,96,92,99,95,91,87,89,80,72,83,101,67,66,65,75,71,101,92,98,79
34,50,49,56,82,74,86,99,85,112,86,92,71,110,74,92,97,83,101,60,57,86,75,110,87,82
35,46,57,64,62,59,71,89,81,103,97,72,96,71,90,73,95,88,75,69,80,77,106,112,120,107
36,51,46,51,53,61,82,95,100,88,93,81,101,101,79,92,84,94,93,91,58,85,79,114,110,111
37,48,54,62,35,61,63,91,98,63,75,78,86,101,93,90,91,91,83,76,82,88,101,99,98,119
38,44,51,62,55,56,55,73,72,69,70,74,90,81,87,78,84,93,97,88,70,82,102,118,96,127
39,37,56,54,51,72,59,70,79,83,77,76,77,72,62,81,85,91,101,72,81,102,112,116,113,99
40,40,47,61,59,48,60,53,70,90,55,68,71,72,66,93,92,104,65,76,72,87,117,112,111,101
41,31,38,56,43,53,77,62,57,77,63,61,63,65,65,78,120,102,71,87,90,102,110,127,116,124
42,43,31,52,45,45,48,53,76,48,53,47,71,70,74,72,85,88,88,92,92,100,109,126,117,105
43,35,38,59,41,67,49,66,60,64,61,51,71,74,55,53,93,80,75,75,94,85,119,101,129,116
44,44,48,59,35,52,57,49,46,47,45,55,58,63,67,56,76,87,83,68,80,91,103,121,143,126
45,45,43,44,47,49,47,56,60,53,55,54,42,52,59,69,67,69,70,88,87,83,117,118,112,117
46,43,37,40,47,51,48,41,54,52,40,47,52,49,49,53,56,73,66,63,88,81,100,89,136,109
47,35,35,41,39,45,47,53,52,50,56,34,45,44,59,60,63,60,69,69,66,80,87,104,113,114
48,39,33,33,44,55,47,43,48,52,34,50,34,58,38,41,38,56,54,58,51,68,84,84,87,114
49,38,21,23,48,55,51,43,39,48,41,45,34,53,41,43,52,41,46,65,52,69,77,103,97,116
50,23,22,39,37,44,37,47,44,45,37,47,38,50,33,44,49,44,53,47,51,53,69,104,102,97
51,30,28,24,27,29,30,39,36,48,40,29,42,43,37,47,44,41,40,46,58,75,65,101,91,98
52,21,26,28,21,26,24,40,32,28,35,35,46,43,37,34,38,33,46,48,51,45,74,67,70,84
53,18,29,27,25,33,28,28,33,41,25,28,39,31,37,39,42,42,44,50,54,46,68,69,59,88
54,20,28,21,25,26,35,39,23,33,29,34,37,21,35,29,42,40,28,42,37,52,49,63,69,72
55,19,22,24,20,21,27,28,24,26,28,28,37,31,28,25,46,49,30,46,45,44,63,53,73,60
56,16,17,18,21,26,14,25,33,23,21,28,30,28,29,25,26,33,41,44,42,36,52,53,54,55
57,22,20,14,22,28,19,17,21,27,19,13,35,39,25,25,35,33,37,40,35,41,35,43,50,46
58,25,16,25,23,22,17,14,22,19,25,22,17,31,30,28,26,30,24,34,28,31,37,48,37,51
59,17,20,24,17,22,13,21,26,19,16,19,17,28,23,26,35,28,27,27,27,33,36,45,42,42
60,10,19,18,9,19,26,18,13,17,18,11,16,23,19,16,24,15,29,24,23,30,40,48,39,42
61,18,22,19,11,19,18,12,12,15,11,17,22,18,20,14,18,23,24,25,29,27,36,37,31,35
62,20,27,16,16,19,13,14,16,16,12,14,12,17,20,22,12,28,19,22,25,24,26,22,41,41
63,21,14,16,17,15,16,13,12,18,19,12,17,22,17,22,21,14,21,24,17,25,27,35,28,36
64,16,19,17,14,16,14,24,17,22,8,17,21,16,19,18,13,20,19,27,15,21,27,28,19,28
65,17,14,20,21,14,20,17,20,10,19,11,18,18,12,11,9,17,10,10,18,18,11,18,21,32
66,24,19,13,10,16,21,19,12,14,16,9,9,12,8,11,17,12,18,18,11,16,30,21,15,30
67,21,27,16,16,21,14,13,16,15,14,7,15,16,7,7,8,12,10,14,13,10,34,25,27,20
68,13,16,12,15,11,21,11,14,11,14,14,14,10,14,10,10,11,15,9,12,11,13,23,28,20
69,24,15,17,16,14,21,19,13,15,17,7,19,9,10,14,11,14,10,8,10,12,19,10,14,22
70,16,22,14,24,14,9,17,16,7,8,10,13,10,8,9,12,8,10,20,12,11,17,14,18,16
71,15,14,9,17,18,6,12,6,15,14,14,10,16,16,6,10,11,10,14,10,11,13,19,11,16
72,14,12,21,11,24,13,11,10,24,16,16,13,12,11,8,6,11,6,7,8,8,13,13,16,13
73,15,14,16,12,10,16,17,19,21,10,12,16,10,3,6,13,11,8,14,14,12,10,11,5,14
74,16,19,13,17,9,9,15,17,11,8,16,10,7,11,12,10,8,12,12,10,18,8,12,10,7
75,17,8,8,20,19,12,17,12,15,7,9,10,7,10,10,13,11,9,7,6,14,11,8,9,10
76,16,16,9,14,13,14,9,8,10,10,15,8,7,9,7,8,6,8,7,9,8,10,14,6,12
77,14,17,18,10,8,16,13,10,14,17,8,19,10,15,7,6,5,4,5,6,13,10,11,11,6
78,6,8,13,8,7,13,17,16,15,8,11,7,7,8,7,4,11,9,9,8,7,6,10,5,15
79,22,12,13,14,11,5,20,8,10,9,14,11,8,10,7,9,9,12,16,7,15,9,7,7,10
80,15,13,9,16,9,8,10,6,17,20,7,6,13,10,13,9,9,8,15,12,12,13,11,9,8
81,11,12,13,10,10,6,9,6,18,14,10,15,8,7,6,8,3,11,8,6,1,6,5,6,5
82,7,12,13,12,10,15,12,1,8,13,13,11,9,7,7,10,5,13,3,5,6,8,7,9,10
83,7,10,11,18,7,13,16,9,5,3,6,15,6,8,9,12,10,11,4,5,7,9,6,9,7
84,7,10,9,9,10,6,9,13,8,4,7,14,11,14,5,14,3,4,8,6,10,5,8,8,7
85,16,13,2,7,7,6,5,8,9,4,4,10,6,9,7,9,6,2,2,4,2,7,3,7,12
86,4,8,10,7,5,8,9,12,11,9,6,5,6,9,7,6,11,7,8,7,4,6,13,9,6
87,5,9,7,7,11,8,10,5,6,9,5,8,5,3,4,7,10,9,6,4,3,3,6,9,2
88,6,3,11,7,6,7,5,6,4,13,4,9,4,4,3,6,6,3,7,5,2,7,5,4,4
89,7,8,4,2,3,5,4,5,5,8,4,6,4,3,4,1,6,4,5,3,5,2,5,2,5
90+,9,11,8,16,15,13,14,9,16,11,20,24,16,18,10,15,13,17,11,13,19,18,16,24,25
